Epoch	P1	P2	P3	P4	P5	P6	P7	P8
8.5510	0.00484	0.20476	0.22869	0.22328	0.23320	0.24088	0.29189	0.34297
8.6010	0.00523	0.21821	0.24048	0.23259	0.23989	0.24216	0.28800	0.33618
8.6510	0.00486	0.20645	0.22829	0.22246	0.23128	0.23408	0.27867	0.32288
8.7010	0.00520	0.21471	0.23362	0.22342	0.22993	0.23483	0.28479	0.33290
8.7510	0.00538	0.22331	0.24321	0.23253	0.23785	0.24388	0.29403	0.34653
8.8010	0.00523	0.21909	0.23929	0.22957	0.23521	0.24235	0.28872	0.33718
8.8510	0.00538	0.22605	0.24686	0.23620	0.24083	0.24808	0.29687	0.34631
8.9010	0.00497	0.21542	0.23686	0.22816	0.23469	0.24276	0.29386	0.34334
8.9510	0.00443	0.20520	0.22822	0.22134	0.22987	0.24103	0.29877	0.35424
9.0010	0.00482	0.21309	0.23474	0.22657	0.23349	0.24119	0.29135	0.34354
9.0510	0.00518	0.22514	0.24563	0.23533	0.24192	0.24742	0.29260	0.33981
9.1010	0.00505	0.21828	0.23814	0.22740	0.23430	0.23920	0.28359	0.32992
9.1510	0.00485	0.21260	0.23297	0.22337	0.23148	0.23890	0.28715	0.33759
9.2010	0.00455	0.20906	0.23157	0.22299	0.23130	0.23927	0.29010	0.34126
9.2510	0.00449	0.21093	0.23339	0.22477	0.23354	0.24380	0.29799	0.35198
9.3010	0.00475	0.22521	0.24825	0.23839	0.24454	0.25081	0.30122	0.35343
9.3510	0.00482	0.22557	0.24928	0.23973	0.24717	0.25401	0.30446	0.35830
9.4010	0.00468	0.21618	0.24063	0.23321	0.24285	0.25185	0.30495	0.35951
9.4510	0.00473	0.22021	0.24414	0.23566	0.24192	0.24770	0.29805	0.35263
9.5010	0.00502	0.22419	0.24662	0.23679	0.24160	0.24715	0.29653	0.35415
9.5510	0.00493	0.22835	0.25069	0.23875	0.24145	0.24733	0.29817	0.36092
9.6010	0.00464	0.21675	0.23987	0.23061	0.23530	0.24264	0.29354	0.35573
9.6510	0.00495	0.22097	0.24465	0.23816	0.24358	0.25074	0.29971	0.36140
9.7010	0.00522	0.23056	0.25365	0.24653	0.25099	0.25540	0.30368	0.36231
